"pName","totalAcc","totalPert","totalAccNorm","totalPertNorm","pAcc","pORA","pComb","identifier","pAcc_fdr","pORA_fdr","pComb_fdr","pAcc_bonferroni","pORA_bonferroni","pComb_bonferroni","path_size","pathID","pv","pv_fdr","pv_bonferroni","nEvidence","countDE","countAll"
"Pathways in cancer","355.724960066561","656.963683126764","2.85340477392621","2.85296776082527","0.00699650174912544","6.83855149725641E-11","1.38375801040009E-07","11202","0.120689655172414","1.10784534255554E-08","0.0000172810910374097","1","2.21569068511108E-08","0.0000286437908152819","531","11202","1.38375801040009E-07","0.0000270486642324674","0.000044833759536963","2","108","519"
"PI3K-Akt signaling pathway","240.055355696033","434.384162683572","2.79124336234405","2.49301645098674","0.0104947526236882","2.08216591211432E-08","2.03308445552882E-07","11163","0.144827586206897","0.00000134924351105008","0.0000172810910374097","1","0.00000674621755525039","0.0000420848482294465","354","11163","2.03308445552882E-07","0.0000270486642324674","0.0000658719363591337","2","74","346"
"Focal adhesion","171.343109792834","292.90729206728","2.64684273364668","2.48128481767456","0.0144927536231884","8.65049269201727E-07","2.7608140670379E-07","11699","0.166666666666667","0.0000311417736912622","0.0000172810910374097","1","0.00028027596322136","0.0000571488511876846","201","11699","2.7608140670379E-07","0.0000270486642324674","0.0000894503757720281","2","46","198"
"Prostate cancer","157.198870534939","228.174649421058","4.40110983001245","4.57560409768408","0.000499750124937531","0.000035450705597655","3.33934126326758E-07","11620","0.0344827586206897","0.000675648741978836","0.0000172810910374097","0.103448275862069","0.0114860286136402","0.000069124364149639","97","11620","3.33934126326758E-07","0.0000270486642324674","0.00010819465692987","2","25","96"
"Oocyte meiosis","112.33203611213","226.049703368508","1.79977811782178","2.36225757724042","0.063968015992004","1.12698300844806E-09","0.00000112359069288577","11497","0.368376787216148","9.12856236842929E-08","0.000046516654685471","1","3.65142494737172E-07","0.000232583273427355","129","11497","0.00000112359069288577","0.0000728086768989982","0.000364043384494991","2","37","115"
"Proteoglycans in cancer","186.17418843065","302.803378457427","1.76054980643695","1.5339158759764","0.0684657671164418","0.00000116720347222541","0.00000138588526345256","11205","0.368376787216148","0.0000378173925001033","0.0000478130415891134","1","0.000378173925001033","0.00028687824953468","205","11205","0.00000138588526345256","0.0000748378042264384","0.00044902682535863","2","46","200"
"MicroRNAs in cancer","0","147.429409543","-1.08300064734795","0.188664897872124","0.134932533733133","1.40463730230882E-10","0.00000226936159523159","11206","0.499707773232028","1.51700828649353E-08","0.000067108264316134","1","4.55102485948059E-08","0.000469757850212938","310","11206","0.00000226936159523159","0.000105039022407862","0.000735273156855034","2","47","158"
"Cell cycle","225.684327297314","351.436017319325","1.25573727011653","1.56012997398178","0.185907046476762","7.65213791443084E-14","0.00000306709799212306","11683","0.534051724137931","2.47929268427559E-11","0.0000724712311861243","1","2.47929268427559E-11","0.000634889284369474","124","11683","0.00000306709799212306","0.00011343323142176","0.000993739749447872","2","45","122"
"Small cell lung cancer","107.060892178714","163.347893536286","3.90126225044071","3.40596984120828","0.000499750124937531","0.00038283301391315","0.00000315092309504888","11630","0.0344827586206897","0.00335237558129353","0.0000724712311861243","0.103448275862069","0.124037896507861","0.000652241080675119","92","11630","0.00000315092309504888","0.00011343323142176","0.00102089908279584","2","22","92"
"Human T-cell leukemia virus 1 infection","108.061013652833","219.428829321033","0.98715440684566","-0.0533105922578595","0.32183908045977","0.00000128921229835408","0.00000651222797414744","11198","0.640583554376658","0.0000379731622424293","0.000132071531192261","1","0.000417704784666723","0.00134803119064852","219","11198","0.00000651222797414744","0.000193800616423427","0.00210996186362377","2","48","213"
